cond,Hour,Minute,bottomText,match,corrAns,block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trigger_txt.started,trigger_resp.started,trigger_resp.keys,trigger_resp.rt,trigger_resp.duration,instr_txt.started,prepared_resp.started,prepared_resp.keys,prepared_resp.rt,prepared_resp.duration,prep_instr.started,prep_instr.stopped,start_indicator.started,start_indicator.stopped,use_rows,clock_digital.started,direction_txt.started,key_resp.started,clock_digital.stopped,direction_txt.stopped,key_resp.stopped,corr_var,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,trial_fixation.started,trial_fixation.stopped,rest_txt.started,rest_txt.stopped,end_txt.started,end_key_resp.started,end_key_resp.keys,end_key_resp.rt,end_key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,17.1480103,17.1480103,s,5.87073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
,,,,,,,,,,,,,,,,,,,23.0355175,23.0355175,1,2.4727689,None,,,,,,,,,,,,,,,,,,,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,8,26,右下,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,25.5287892,27.5235058,27.5235058,28.0343614,21,28.0343614,28.1223362,28.1223362,30.5158797,30.5158797,30.5158797,0,2,0,1.1021326,None,30.5158797,31.0143467,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,7,25,右下,1,1,0,0,0,0,0,1,1,2,,,,,,,,,,,,,,,29,31.0143467,31.1144208,31.1144208,33.5078007,33.5078007,33.5078007,1,1,1,1.2336551,None,33.5078007,34.0070041,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,15,22,左上,0,2,0,0,0,0,0,2,2,9,,,,,,,,,,,,,,,0,34.0070041,34.1063919,34.1063919,36.5002999,36.5002999,36.5002999,0,1,0,1.646562,None,36.5002999,36.9989956,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,17,11,左上,0,2,0,0,0,0,0,3,3,8,,,,,,,,,,,,,,,80,36.9989956,37.0989832,37.0989832,39.4920957,39.4920957,39.4920957,0,1,0,1.0289239,None,39.4920957,39.9908125,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,8,25,右下,1,1,0,0,0,0,0,4,4,5,,,,,,,,,,,,,,,90,39.9908125,40.0909809,40.0909809,42.4844936,42.4844936,42.4844936,1,1,1,1.3126074,None,42.4844936,42.9832277,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,11,39,左上,0,2,0,0,0,0,0,5,5,3,,,,,,,,,,,,,,,5,42.9832277,43.0830988,43.0830988,45.4764229,45.4764229,45.4764229,1,2,1,2.0158066,None,45.4764229,45.9754729,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
2,11,41,右下,0,2,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,78,45.9754729,46.0753296,46.0753296,48.4687807,48.4687807,48.4687807,1,2,1,1.2860551,None,48.4687807,48.9672797,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
1,14,13,右上,1,1,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,13,48.9672797,49.0670323,49.0670323,51.4609235,51.4609235,51.4609235,1,1,1,2.0922769,None,51.4609235,51.9591872,,,,,,,,Gianna_ZB216,1,2024-02-27_14h09.55.611,clock-master,2023.1.3,60.04790621
